,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.56,0.12,0.0,0.01,0.01,0.0,0,0.0,0
1,0.48,-0.04,0.0,0.58,0.16,0.0,100,16.0,100
2,0.44,-0.12,0.0,0.55,0.1,0.0,200,26.0,200
3,0.6,0.2,0.0,0.5,0.0,0.0,300,26.0,300
4,0.56,0.12,0.0,0.52,0.04,0.0,400,30.0,400
5,0.48,-0.04,0.0,0.43,-0.14,0.0,500,16.0,500
6,0.56,0.12,0.0,0.49,-0.02,0.0,600,16.0,600
7,0.4,-0.2,0.0,0.5,0.0,0.0,700,14.0,700
8,0.44,-0.12,0.0,0.56,0.12,0.0,800,28.0,800
9,0.44,-0.12,0.0,0.53,0.06,0.0,900,32.0,900
