,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.56,0.12,0.0,0.01,0.01,0.0,0,0.0,0
1,0.48,-0.04,0.0,0.58,0.16,0.0,100,16.0,100
2,0.44,-0.12,0.0,0.55,0.1,0.0,200,26.0,200
3,0.6,0.2,0.0,0.5,0.0,0.0,300,26.0,300
4,0.56,0.12,0.0,0.52,0.04,0.0,400,30.0,400
5,0.48,-0.04,0.0,0.43,-0.14,0.0,500,16.0,500
6,0.56,0.12,0.0,0.49,-0.02,0.0,600,16.0,600
7,0.4,-0.2,0.0,0.5,0.0,0.0,700,14.0,700
8,0.44,-0.12,0.0,0.56,0.12,0.0,800,28.0,800
9,0.44,-0.12,0.0,0.53,0.06,0.0,900,32.0,900
10,0.48,-0.04,0.0,0.52,0.04,0.0,1000,36.0,1000
11,0.44,-0.12,0.0,0.54,0.08,0.0,1100,44.0,1100
12,0.68,0.36,0.0,0.48,-0.04,0.0,1200,40.0,1200
13,0.72,0.44,0.0,0.54,0.08,0.0,1300,48.0,1300
14,0.68,0.36,0.0,0.57,0.14,0.0,1400,64.0,1400
15,0.4,-0.2,0.0,0.56,0.12,0.0,1500,74.0,1500
16,0.32,-0.36,0.0,0.43,-0.14,0.0,1600,62.0,1600
17,0.8,0.6,0.0,0.38,-0.24,0.0,1700,36.0,1700
18,0.44,-0.12,0.0,0.47,-0.06,0.0,1800,30.0,1800
19,0.44,-0.12,0.0,0.48,-0.04,0.0,1900,28.0,1900
20,0.6,0.2,0.0,0.51,0.02,0.0,2000,28.0,2000
21,0.48,-0.04,0.0,0.49,-0.02,0.0,2100,28.0,2100
22,0.4,-0.2,0.0,0.5,0.0,0.0,2200,26.0,2200
23,0.48,-0.04,0.0,0.49,-0.02,0.0,2300,26.0,2300
24,0.4,-0.2,0.0,0.48,-0.04,0.0,2400,22.0,2400
25,0.56,0.12,0.0,0.55,0.1,0.0,2500,30.0,2500
26,0.48,-0.04,0.0,0.45,-0.1,0.0,2600,20.0,2600
27,0.6,0.2,0.0,0.48,-0.04,0.0,2700,16.0,2700
28,0.32,-0.36,0.0,0.45,-0.1,0.0,2800,8.0,2800
