,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played,train_loss_policy,train_loss_value
48,0.48,-0.04,0.0,0.49,-0.02,0.0,4800,-92.0,4800,0.007083200520140258,0.16196529765939457
49,0.4,-0.2,0.0,0.56,0.12,0.0,4900,-78.0,4900,0.010448390472107766,0.14577305311247726
50,0.4,-0.2,0.0,0.53,0.06,0.0,5000,-72.0,5000,0.006285654661879442,0.14194246970128033
51,0.68,0.36,0.0,0.54,0.08,0.0,5100,-64.0,5100,0.009381677637276322,0.1502888809561767
52,0.44,-0.12,0.0,0.55,0.1,0.0,5200,-56.0,5200,0.009855763706516602,0.14678446489407565
53,0.4,-0.2,0.0,0.43,-0.14,0.0,5300,-70.0,5300,0.002540510302882723,0.18282590208641886
54,0.48,-0.04,0.0,0.56,0.12,0.0,5400,-58.0,5400,0.006725851652879843,0.15935681457050402
55,0.44,-0.12,0.0,0.46,-0.08,0.0,5500,-66.0,5500,0.0016981247657350928,0.14782054328948843
56,0.4,-0.2,0.0,0.46,-0.08,0.0,5600,-74.0,5600,-0.0018112081271238628,0.20607533387822333
57,0.64,0.28,0.0,0.54,0.08,0.0,5700,-66.0,5700,0.008142754020376354,0.1767603020188364
58,0.48,-0.04,0.0,0.45,-0.1,0.0,5800,-74.0,5800,0.005994441732674937,0.1518440378125205
59,0.52,0.04,0.0,0.48,-0.04,0.0,5900,-80.0,5900,0.004790241649698642,0.16513502512051914
60,0.48,-0.04,0.0,0.52,0.04,0.0,6000,-74.0,6000,0.009915056977300376,0.18169524019639754
61,0.68,0.36,0.0,0.56,0.12,0.0,6100,-64.0,6100,0.010760734559394898,0.1483817074299646
62,0.44,-0.12,0.0,0.46,-0.08,0.0,6200,-72.0,6200,0.004774714234751782,0.18164718111020453
63,0.32,-0.36,0.0,0.54,0.08,0.0,6300,-62.0,6300,0.009362805489307879,0.16756353114087127
64,0.48,-0.04,0.0,0.45,-0.1,0.0,6400,-74.0,6400,-0.0004902380820530019,0.12601004188427528
65,0.52,0.04,0.0,0.51,0.02,0.0,6500,-70.0,6500,0.005384648047065621,0.15751534030748285
66,0.44,-0.12,0.0,0.52,0.04,0.0,6600,-68.0,6600,0.005890953212226302,0.18221678339630665
67,0.4,-0.2,0.0,0.48,-0.04,0.0,6700,-70.0,6700,0.0035905322390844983,0.1554864536547776
68,0.4,-0.2,0.0,0.52,0.04,0.0,6800,-68.0,6800,0.006628073128589796,0.1596981218725214
69,0.68,0.36,0.0,0.52,0.04,0.0,6900,-64.0,6900,0.004620766501822998,0.1501048628295906
70,0.44,-0.12,0.0,0.41,-0.18,0.0,7000,-82.0,7000,-0.0008965588843170599,0.17293852255488446
71,0.4,-0.2,0.0,0.48,-0.04,0.0,7100,-86.0,7100,0.005531306548787016,0.14964417408314773
72,0.48,-0.04,0.0,0.44,-0.12,0.0,7200,-96.0,7200,0.0008281845479963452,0.17931852225260234
73,0.52,0.04,0.0,0.51,0.02,0.0,7300,-94.0,7300,0.007555182740302846,0.1568296262810004
74,0.32,-0.36,0.0,0.52,0.04,0.0,7400,-92.0,7400,0.00650506058937323,0.1759029592413645
75,0.48,-0.04,0.0,0.52,0.04,0.0,7500,-88.0,7500,0.005569150884720679,0.14527057003535554
76,0.28,-0.44,0.0,0.42,-0.16,0.0,7600,-104.0,7600,0.0008775827609418179,0.1486676612722668
77,0.44,-0.12,0.0,0.48,-0.04,0.0,7700,-108.0,7700,0.003940786822106376,0.20317830897672687
78,0.48,-0.04,0.0,0.51,0.02,0.0,7800,-104.0,7800,0.006142345876075682,0.20841094424574844
79,0.64,0.28,0.0,0.48,-0.04,0.0,7900,-108.0,7900,0.004085036450973847,0.20656190913821806
80,0.56,0.12,0.0,0.48,-0.04,0.0,8000,-112.0,8000,0.004036871635566481,0.23712285479323236
81,0.44,-0.12,0.0,0.45,-0.1,0.0,8100,-122.0,8100,0.004941468271686932,0.1621175420091441
82,0.64,0.28,0.0,0.59,0.18,0.0,8200,-104.0,8200,0.011554740838167753,0.1868866291947727
83,0.44,-0.12,0.0,0.43,-0.14,0.0,8300,-118.0,8300,-0.0007552812905009072,0.15091956470156728
84,0.44,-0.12,0.0,0.53,0.06,0.0,8400,-114.0,8400,0.006060421638581751,0.1695181456785498
85,0.48,-0.04,0.0,0.46,-0.08,0.0,8500,-122.0,8500,0.0020592782908008993,0.1405928728316923
86,0.6,0.2,0.0,0.51,0.02,0.0,8600,-120.0,8600,0.008501828179021525,0.16095716563602458
87,0.44,-0.12,0.0,0.55,0.1,0.0,8700,-110.0,8700,0.00729262538515741,0.2187214534040971
88,0.68,0.36,0.0,0.53,0.06,0.0,8800,-102.0,8800,0.00954563790871141,0.14890543999192496
89,0.4,-0.2,0.0,0.55,0.1,0.0,8900,-94.0,8900,0.007004529111572143,0.16751372556414604
90,0.56,0.12,0.0,0.47,-0.06,0.0,9000,-100.0,9000,0.003623423091824815,0.1378019897115861
91,0.44,-0.12,0.0,0.58,0.16,0.0,9100,-82.0,9100,0.009301100298647733,0.1344190651372703
92,0.48,-0.04,0.0,0.53,0.06,0.0,9200,-76.0,9200,0.0089729809009822,0.16291990573762594
93,0.44,-0.12,0.0,0.51,0.02,0.0,9300,-76.0,9300,0.005670294217163739,0.1475016269265919
94,0.48,-0.04,0.0,0.54,0.08,0.0,9400,-68.0,9400,0.008938726562421765,0.1342388510273212
95,0.52,0.04,0.0,0.55,0.1,0.0,9500,-56.0,9500,0.008966441343986224,0.14396018284788387
96,0.48,-0.04,0.0,0.48,-0.04,0.0,9600,-60.0,9600,0.0021333201014316155,0.17065246903523149
97,0.32,-0.36,0.0,0.57,0.14,0.0,9700,-48.0,9700,0.008526941341235033,0.17020999556919178
98,0.52,0.04,0.0,0.54,0.08,0.0,9800,-40.0,9800,0.008770824420462496,0.15061773455961058
