,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.48,-0.04,0.0,0.01,0.01,0.0,0,0.0,0
1,0.52,0.04,0.0,0.49,-0.02,0.0,100,-2.0,100
2,0.32,-0.36,0.0,0.54,0.08,0.0,200,6.0,200
3,0.44,-0.12,0.0,0.47,-0.06,0.0,300,2.0,300
4,0.56,0.12,0.0,0.45,-0.1,0.0,400,-8.0,400
5,0.52,0.04,0.0,0.45,-0.1,0.0,500,-18.0,500
6,0.56,0.12,0.0,0.44,-0.12,0.0,600,-30.0,600
7,0.6,0.2,0.0,0.43,-0.14,0.0,700,-44.0,700
8,0.52,0.04,0.0,0.48,-0.04,0.0,800,-48.0,800
9,0.56,0.12,0.0,0.49,-0.02,0.0,900,-52.0,900
10,0.52,0.04,0.0,0.42,-0.16,0.0,1000,-66.0,1000
11,0.52,0.04,0.0,0.4,-0.2,0.0,1100,-88.0,1100
