,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.48,-0.04,0.0,0.01,0.01,0.0,0,0.0,0
1,0.36,-0.28,0.0,0.49,-0.02,0.0,100,0.0,100
2,0.64,0.28,0.0,0.44,-0.12,0.0,200,-14.0,200
3,0.28,-0.44,0.0,0.5,0.0,0.0,300,-14.0,300
4,0.64,0.28,0.0,0.45,-0.1,0.0,400,-22.0,400
5,0.52,0.04,0.0,0.5,0.0,0.0,500,-22.0,500
6,0.64,0.28,0.0,0.4,-0.2,0.0,600,-44.0,600
7,0.56,0.12,0.0,0.56,0.12,0.0,700,-32.0,700
8,0.68,0.36,0.0,0.6,0.2,0.0,800,-12.0,800
9,0.72,0.44,0.0,0.54,0.08,0.0,900,-2.0,900
10,0.52,0.04,0.0,0.61,0.22,0.0,1000,18.0,1000
11,0.52,0.04,0.0,0.55,0.1,0.0,1100,28.0,1100
12,0.68,0.36,0.0,0.56,0.12,0.0,1200,40.0,1200
13,0.52,0.04,0.0,0.57,0.14,0.0,1300,54.0,1300
14,0.6,0.2,0.0,0.51,0.02,0.0,1400,58.0,1400
15,0.52,0.04,0.0,0.47,-0.06,0.0,1500,52.0,1500
16,0.4,-0.2,0.0,0.5,0.0,0.0,1600,50.0,1600
17,0.56,0.12,0.0,0.56,0.12,0.0,1700,62.0,1700
18,0.32,-0.36,0.0,0.5,0.0,0.0,1800,64.0,1800
19,0.48,-0.04,0.0,0.47,-0.06,0.0,1900,58.0,1900
20,0.68,0.36,0.0,0.52,0.04,0.0,2000,60.0,2000
21,0.48,-0.04,0.0,0.6,0.2,0.0,2100,82.0,2100
22,0.52,0.04,0.0,0.48,-0.04,0.0,2200,78.0,2200
23,0.36,-0.28,0.0,0.47,-0.06,0.0,2300,72.0,2300
24,0.48,-0.04,0.0,0.55,0.1,0.0,2400,80.0,2400
25,0.4,-0.2,0.0,0.54,0.08,0.0,2500,88.0,2500
26,0.28,-0.44,0.0,0.49,-0.02,0.0,2600,86.0,2600
27,0.28,-0.44,0.0,0.58,0.16,0.0,2700,102.0,2700
28,0.48,-0.04,0.0,0.44,-0.12,0.0,2800,92.0,2800
29,0.72,0.44,0.0,0.5,0.0,0.0,2900,92.0,2900
30,0.52,0.04,0.0,0.57,0.14,0.0,3000,104.0,3000
31,0.4,-0.2,0.0,0.49,-0.02,0.0,3100,104.0,3100
32,0.48,-0.04,0.0,0.42,-0.16,0.0,3200,88.0,3200
33,0.48,-0.04,0.0,0.54,0.08,0.0,3300,96.0,3300
34,0.52,0.04,0.0,0.5,0.0,0.0,3400,94.0,3400
35,0.52,0.04,0.0,0.5,0.0,0.0,3500,94.0,3500
36,0.44,-0.12,0.0,0.6,0.2,0.0,3600,116.0,3600
37,0.36,-0.28,0.0,0.49,-0.02,0.0,3700,114.0,3700
38,0.48,-0.04,0.0,0.49,-0.02,0.0,3800,110.0,3800
39,0.56,0.12,0.0,0.55,0.1,0.0,3900,122.0,3900
40,0.32,-0.36,0.0,0.45,-0.1,0.0,4000,112.0,4000
41,0.52,0.04,0.0,0.49,-0.02,0.0,4100,108.0,4100
42,0.52,0.04,0.0,0.45,-0.1,0.0,4200,100.0,4200
43,0.44,-0.12,0.0,0.44,-0.12,0.0,4300,88.0,4300
44,0.64,0.28,0.0,0.55,0.1,0.0,4400,98.0,4400
45,0.56,0.12,0.0,0.54,0.08,0.0,4500,104.0,4500
46,0.44,-0.12,0.0,0.58,0.16,0.0,4600,120.0,4600
47,0.52,0.04,0.0,0.64,0.28,0.0,4700,148.0,4700
48,0.32,-0.36,0.0,0.61,0.22,0.0,4800,170.0,4800
49,0.56,0.12,0.0,0.43,-0.14,0.0,4900,158.0,4900
50,0.44,-0.12,0.0,0.51,0.02,0.0,5000,160.0,5000
51,0.48,-0.04,0.0,0.53,0.06,0.0,5100,164.0,5100
52,0.36,-0.28,0.0,0.51,0.02,0.0,5200,168.0,5200
53,0.48,-0.04,0.0,0.52,0.04,0.0,5300,172.0,5300
54,0.64,0.28,0.0,0.47,-0.06,0.0,5400,164.0,5400
55,0.64,0.28,0.0,0.5,0.0,0.0,5500,164.0,5500
56,0.44,-0.12,0.0,0.5,0.0,0.0,5600,164.0,5600
