,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.68,0.36,0.0,0.0,-0.01,0.0,0,0.0,0
1,0.36,-0.28,0.0,0.44,-0.12,0.0,100,-14.0,100
2,0.52,0.04,0.0,0.43,-0.14,0.0,200,-28.0,200
3,0.24,-0.52,0.0,0.41,-0.18,0.0,300,-44.0,300
4,0.48,-0.04,0.0,0.42,-0.16,0.0,400,-60.0,400
5,0.72,0.44,0.0,0.48,-0.04,0.0,500,-66.0,500
6,0.4,-0.2,0.0,0.51,0.02,0.0,600,-62.0,600
7,0.52,0.04,0.0,0.4,-0.2,0.0,700,-82.0,700
8,0.4,-0.2,0.0,0.64,0.28,0.0,800,-54.0,800
9,0.52,0.04,0.0,0.44,-0.12,0.0,900,-66.0,900
10,0.68,0.36,0.0,0.46,-0.08,0.0,1000,-74.0,1000
11,0.48,-0.04,0.0,0.43,-0.14,0.0,1100,-90.0,1100
12,0.76,0.52,0.0,0.53,0.06,0.0,1200,-84.0,1200
13,0.28,-0.44,0.0,0.51,0.02,0.0,1300,-80.0,1300
14,0.52,0.04,0.0,0.44,-0.12,0.0,1400,-94.0,1400
15,0.56,0.12,0.0,0.54,0.08,0.0,1500,-84.0,1500
16,0.44,-0.12,0.0,0.49,-0.02,0.0,1600,-88.0,1600
17,0.68,0.36,0.0,0.56,0.12,0.0,1700,-76.0,1700
18,0.44,-0.12,0.0,0.52,0.04,0.0,1800,-70.0,1800
19,0.36,-0.28,0.0,0.44,-0.12,0.0,1900,-82.0,1900
20,0.56,0.12,0.0,0.57,0.14,0.0,2000,-68.0,2000
