,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.68,0.36,0.0,0.01,0.01,0.0,0,0.0,0
1,0.76,0.52,0.0,0.55,0.1,0.0,100,10.0,100
2,0.72,0.44,0.0,0.45,-0.1,0.0,200,2.0,200
3,0.64,0.28,0.0,0.55,0.1,0.0,300,12.0,300
4,0.56,0.12,0.0,0.54,0.08,0.0,400,20.0,400
5,0.52,0.04,0.0,0.45,-0.1,0.0,500,10.0,500
6,0.48,-0.04,0.0,0.52,0.04,0.0,600,12.0,600
7,0.64,0.28,0.0,0.44,-0.12,0.0,700,0.0,700
8,0.76,0.52,0.0,0.45,-0.1,0.0,800,-10.0,800
9,0.48,-0.04,0.0,0.56,0.12,0.0,900,2.0,900
10,0.6,0.2,0.0,0.55,0.1,0.0,1000,14.0,1000
11,0.44,-0.12,0.0,0.44,-0.12,0.0,1100,0.0,1100
12,0.52,0.04,0.0,0.49,-0.02,0.0,1200,0.0,1200
13,0.52,0.04,0.0,0.44,-0.12,0.0,1300,-12.0,1300
14,0.48,-0.04,0.0,0.44,-0.12,0.0,1400,-26.0,1400
