,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played,train_loss_policy,train_loss_value
56,0.6,0.2,0.0,0.38,-0.24,0.0,5600,-160.0,5600,0.003064732052045389,0.31490542409221467
57,0.72,0.44,0.0,0.59,0.18,0.0,5700,-140.0,5700,0.005755175854154092,0.2778632337416062
58,0.44,-0.12,0.0,0.35,-0.3,0.0,5800,-170.0,5800,0.0038352144298415274,0.2616841125710093
59,0.44,-0.12,0.0,0.41,-0.18,0.0,5900,-188.0,5900,0.0030721515440620957,0.22861772013773765
60,0.48,-0.04,0.0,0.44,-0.12,0.0,6000,-200.0,6000,0.005377490140510424,0.2644620431361639
61,0.44,-0.12,0.0,0.5,0.0,0.0,6100,-202.0,6100,0.003932778201736589,0.26293451586708655
62,0.24,-0.52,0.0,0.45,-0.1,0.0,6200,-212.0,6200,0.003381176400788035,0.24775580879184048
63,0.4,-0.2,0.0,0.52,0.04,0.0,6300,-208.0,6300,0.010713011448132168,0.24588482766290598
64,0.32,-0.36,0.0,0.42,-0.16,0.0,6400,-222.0,6400,-0.0010069653116345793,0.2147376347891333
65,0.44,-0.12,0.0,0.59,0.18,0.0,6500,-204.0,6500,0.010800783418734746,0.26175343721362004
66,0.6,0.2,0.0,0.53,0.06,0.0,6600,-200.0,6600,0.008877240104048336,0.23371805208402877
67,0.28,-0.44,0.0,0.46,-0.08,0.0,6700,-206.0,6700,0.0062967126253754505,0.260941096038615
68,0.32,-0.36,0.0,0.57,0.14,0.0,6800,-192.0,6800,0.010049978588736082,0.26891523123017164
69,0.4,-0.2,0.0,0.59,0.18,0.0,6900,-176.0,6900,0.011236366716523965,0.27982442516136946
70,0.44,-0.12,0.0,0.49,-0.02,0.0,7000,-176.0,7000,0.006617854825395152,0.2695351218904474
71,0.48,-0.04,0.0,0.55,0.1,0.0,7100,-168.0,7100,0.007896576368342192,0.21867393949702546
72,0.48,-0.04,0.0,0.49,-0.02,0.0,7200,-170.0,7200,0.006843487333999521,0.29531344690231415
73,0.52,0.04,0.0,0.52,0.04,0.0,7300,-164.0,7300,0.01013036319984762,0.2713495335601632
74,0.4,-0.2,0.0,0.47,-0.06,0.0,7400,-170.0,7400,0.006829609661199491,0.21348483763541043
75,0.68,0.36,0.0,0.52,0.04,0.0,7500,-168.0,7500,0.005222544841723936,0.2612848200692644
76,0.16,-0.68,0.0,0.49,-0.02,0.0,7600,-168.0,7600,0.006424536586233603,0.27192887271149396
